smiles,tg exp
*C/C=C\C*,-102.14999999999998
*N[Si](*)(C)C,-82.14999999999998
*CC=C(C*)CCCC,-81.14999999999998
*CC*,-78.14999999999998
*CC=C(C*)CCC,-77.14999999999998
*CC=C(C*)CC,-76.14999999999998
*CCCCCCO*,-69.14999999999998
*OCCCCOC(=O)CCCCC(*)=O,-68.14999999999998
*OCCCCCC(*)=O,-60.14999999999998
*OCCCCCCCCCCOC(=O)CCCCC(*)=O,-56.14999999999998
*OCCC(C)CCC(*)=O,-53.14999999999998
*CC=C(C*)C(C)C,-52.14999999999998
*CC=C(Cl)C*,-48.14999999999998
*OCCOC(=O)CCCCCCCC(*)=O,-45.14999999999998
*CC(*)C(=O)OC(C)CCCCCC,-45.14999999999998
*OCCOC(=O)CCCCC(*)=O,-40.14999999999998
*CC(*)C(=O)OC(C)CCCCC,-38.14999999999998
*CC(*)CCCC(C)C,-34.14999999999998
*CC=C(Br)C*,-32.14999999999998
*OCCOC(=O)CCCCCCCCC(*)=O,-30.149999999999977
*c1nc(C(F)(F)F)nc(C(F)(OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(*)(F)C(F)(F)F)C(F)(F)F)n1,-18.149999999999977
*CC(*)CCC(C)C,-14.149999999999975
*c1nc(C(F)(F)C(F)(F)OC(F)(F)F)nc(C(F)(F)C(F)(F)C(F)(F)C(*)(F)F)n1,-13.149999999999975
*OCCOC(=O)CCC(*)=O,-1.1499999999999773
*CC(*)OC(=O)CCC,4.850000000000023
*CC(*)(C)C(=O)OCC(CC)CC,10.850000000000025
*CC(*)c1ccccc1OCCCCCCCC,12.850000000000025
*CC=C(C*)C(C)(C)C,19.850000000000023
*Cc1ccc(C*)c(CC)c1,24.850000000000023
*NCCCCCCCCCCCC(*)=O,36.85000000000002
*NCCCCCCNC(=O)CCCCCCCCC(*)=O,39.85000000000002
*NCCCCCCCCCCC(*)=O,41.85000000000002
*NCCCCCCCCCC(*)=O,42.85000000000002
*NCCCCCCCCCCNC(=O)CCCCCCCCC(*)=O,45.85000000000002
*CC(*)C(=O)NCCCC,45.85000000000002
*CC(*)(C)C(=O)OCC(C)C,47.85000000000002
*NCCCCCCCCC(*)=O,50.85000000000002
*NCCCCCCCC(*)=O,50.85000000000002
*OCCOC(=O)c1cccc(C(*)=O)c1,50.85000000000002
*Cc1ccc(C*)c(C)c1,54.85000000000002
*CC(*)C(=O)C(C)C,55.85000000000002
*NCCCCCCC(*)=O,56.85000000000002
*NCCCCCCNC(=O)CCCCC(*)=O,56.85000000000002
*Cc1ccc(C*)cc1,59.85000000000002
*NCCCCCC(*)=O,61.85000000000002
*OCCOC(=O)c1ccc(C(*)=O)c2ccccc12,63.85000000000002
*OCCOC(=O)c1cccc2c(C(*)=O)cccc12,70.85000000000002
*OCCOC(=O)c1ccc(C(*)=O)cc1,71.85000000000002
*CC(*)(Cl)C(=O)OC(C)CC,73.85000000000002
*Cc1ccc(C*)c(Cl)c1,79.85000000000002
*Cc1ccc(C*)c(Br)c1,79.85000000000002
*CC(*)c1ccc(C(C)CC)cc1,85.85000000000002
*CC(*)(Cl)C(=O)OC(C)C,89.85000000000002
*CC(*)c1ccc(OC)cc1C,89.85000000000002
*Cc1ccc(C*)c(C#N)c1,89.85000000000002
*NCc1cccc(CNC(=O)CCCCC(*)=O)c1,89.85000000000002
*[Si](*)(C)C1CCCCC1,92.85000000000002
*OCC1CCC(COC(=O)c2ccc(C(*)=O)cc2)CC1,94.85000000000002
*Cc1cc(C)c(C*)cc1C,99.85000000000002
*CC(*)c1cc(F)ccc1F,100.85000000000002
*CC(*)c1ccccc1CC,102.85000000000002
*CC(*)c1c(F)c(F)c(F)c(F)c1F,104.85000000000002
*CC(*)c1cc(C)ccc1F,110.85000000000002
*CC(*)(Cl)C(=O)OC1CCCCC1,113.85000000000002
*NCc1ccc(CNC(=O)CCCCCCCCC(*)=O)cc1,114.85000000000002
*Oc1ccc(C(C)(CC)c2ccc(OC(*)=O)cc2C)c(C)c1,118.85000000000002
*OCCOC(=O)c1ccc2cc(C(*)=O)ccc2c1,123.85000000000002
*CC(*)c1cccc(CO)c1,124.85000000000002
*Oc1ccc(Oc2ccc(Oc3ccc4c(c3)C(=O)N(CCCCCCN3C(=O)c5ccc(*)cc5C3=O)C4=O)cc2)cc1,136.85000000000002
*NCCCCCCNC(=O)c1cccc(C(*)=O)c1,129.85000000000002
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)cc2)cc1Cl,137.85000000000002
*CC(*)c1ccc(CO)cc1,139.85000000000002
*OC(=O)Oc1ccc(C(C)(CC)c2ccc(*)cc2Cl)c(Cl)c1,141.85000000000002
*Oc1c(Cl)cc(C(C)(C)c2ccc(OC(*)=O)cc2)cc1Cl,145.85000000000002
*OC(=O)Oc1ccc(C(C)(C)c2ccc(*)cc2Cl)c(Cl)c1,145.85000000000002
*OC(=O)Oc1ccc(C(=C(Cl)Cl)c2ccc(*)cc2)cc1,156.85000000000002
*CC(*)c1ccccc1CO,159.85000000000002
*Oc1ccc(C(C)(C)c2ccc(Oc3ccc(S(=O)(=O)c4ccc(*)cc4)cc3)cc2)cc1,184.85
*Oc1cc(C)c(C(C)(C)c2c(C)cc(OC(*)=O)cc2C)c(C)c1,199.85
*c1cccc(C(=O)c2cccc(N3C(=O)c4ccc(Oc5ccc(Sc6ccc(Oc7ccc8c(c7)C(=O)N(*)C8=O)cc6)cc5)cc4C3=O)c2)c1,199.85
*c1ccc(C(=O)c2ccccc2N2C(=O)c3ccc(Oc4ccc(Sc5ccc(Oc6ccc7c(c6)C(=O)N(*)C7=O)cc5)cc4)cc3C2=O)cc1,211.85
*c1ccc(C(=O)c2cccc(N3C(=O)c4ccc(Oc5ccc(Sc6ccc(Oc7ccc8c(c7)C(=O)N(*)C8=O)cc6)cc5)cc4C3=O)c2)cc1,212.85
*Oc1ccc(-c2ccc(Oc3ccc(S(=O)(=O)c4ccc(*)cc4)cc3)cc2)cc1,219.85
*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(S(=O)(=O)c4ccc(*)cc4)cc3)cc2)cc1,219.85
*c1ccc(C(=O)c2ccc(N3C(=O)c4ccc(Oc5ccc(Sc6ccc(Oc7ccc8c(c7)C(=O)N(*)C8=O)cc6)cc5)cc4C3=O)cc2)cc1,220.85
*Oc1cccc(Oc2cccc(-n3c(=O)c4cc5c(=O)n(-c6cccc(*)c6)c(=O)c5cc4c3=O)c2)c1,220.85
*Oc1ccc(C(=O)c2ccc(Oc3ccc4c(c3)C(=O)N(c3cccc(N5C(=O)c6ccc(*)cc6C5=O)c3)C4=O)cc2)cc1,238.85
*c1cccc(C(=O)c2cccc(N3C(=O)c4ccc(C(=O)c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)c2)c1,239.85
*c1cccc(C(=O)c2cccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)c2)c1,259.85
*c1cccc(-c2cc(-c3ccc(Oc4ccc(-c5cc(*)nc6ccccc56)cc4)cc3)c3ccccc3n2)c1,267.85
*c1cccc(-c2nc3ccccc3c(-c3ccc(Oc4ccc(-c5c(-c6ccccc6)c(*)nc6ccccc56)cc4)cc3)c2-c2ccccc2)c1,272.85
*Oc1ccc(-c2ccccc2Cc2ccccc2-c2ccc(OC(*)=O)cc2)cc1,274.85
*c1ccc(C(=O)c2cccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)c2)cc1,287.85
*c1ccc(C(=O)c2ccccc2N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(*)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)cc1,288.85
*c1ccc(-c2cc(-c3ccccc3)c3cc(Oc4ccc5nc(*)cc(-c6ccccc6)c5c4)ccc3n2)cc1,299.85
*Oc1ccc(-c2ccc(OC(=O)c3ccc(C4(c5ccc(C(*)=O)cc5)OC(=O)c5ccccc54)cc3)cc2)cc1,306.85
*c1ccc(-c2ccc(-c3cc(-c4ccccc4)c4cc(Oc5ccc6nc(*)cc(-c7ccccc7)c6c5)ccc4n3)cc2)cc1,307.85
*Oc1ccc(C2(c3ccc(OC(=O)c4ccc(C5(c6ccc(C(*)=O)cc6)OC(=O)c6ccccc65)cc4)cc3)OC(=O)c3ccccc32)cc1,309.85
*c1ccc(C(=O)c2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2)cc1,310.85
*c1ccc(-c2cnc3ccc(C(=O)c4ccc5ncc(*)nc5c4)cc3n2)cc1,317.85
*Nc1ccc(Oc2ccc(NC(=O)c3ccc(C4(c5ccc(C(*)=O)cc5)OC(=O)c5ccccc54)cc3)cc2)cc1,319.85
*c1ccc(N2C(=O)c3ccc(C(=O)c4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)cc1,332.85
*c1ccc(Oc2ccc(-c3nc4ccccc4c(-c4ccc(Oc5ccc(-c6c(-c7ccccc7)c(*)nc7ccccc67)cc5)cc4)c3-c3ccccc3)cc2)cc1,344.85
*Nc1ccc(C2(c3ccc(NC(=O)c4ccc(C5(c6ccc(C(*)=O)cc6)OC(=O)c6ccccc65)cc4)cc3)OC(=O)c3ccccc32)cc1,384.85
*Oc1ccc(-n2c(=O)c3cc4c(=O)n(-c5ccc(*)cc5)c(=O)c4cc3c2=O)cc1,398.85
*C(=O)Nc1ccc(C2(c3ccc(NC(=O)c4ccc(C5(c6ccc(*)cc6)OC(=O)c6ccccc65)cc4)cc3)NC(=O)c3ccccc32)cc1,399.85
*C(=O)c1ccc(-n2c(=O)c3cc4c(=O)n(-c5ccc(*)cc5)c(=O)c4cc3c2=O)cc1,411.85
